,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
400,401,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,0.0,0.001,64.0,,,,,,,,,,,,
401,402,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,0.0,0.008,256.0,,,,,,,,,,,,
402,403,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,0.0,0.001,64.0,,,,,,,,,,,,
403,404,[Ops-MoA-Yuan-embedding-1.0](https://huggingface.co/OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0),99%,0.322,0.343,1536.0,512.0,,,,,,,,,,,
404,405,[ListConRanker](https://huggingface.co/ByteDance/ListConRanker),99%,,0.401,1024.0,512.0,,,,,,,,,,,
405,405,[Ops-MoA-Conan-embedding-v1](https://huggingface.co/OpenSearch-AI/Ops-MoA-Conan-embedding-v1),99%,0.322,0.343,1536.0,512.0,,,,,,,,,,,
406,407,[XYZ-embedding](https://huggingface.co/fangxq/XYZ-embedding),99%,0.304,0.326,768.0,512.0,,,,,,,,,,,
407,408,[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),99%,7.122,7.667,3584.0,32768.0,,,,,,,,,,,
408,409,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),⚠️ NA,6.526,7.069,3584.0,32768.0,,,,,,,,,,,
409,410,[LateOn-Code](https://huggingface.co/lightonai/LateOn-Code),99%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
410,410,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,0.0,0.0,64.0,,,,,,,,,,,,
411,412,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),⚠️ NA,1.31,1.543,1536.0,32768.0,,,,,,,,,,,
